date,facility_id,operation,shift,hour_of_day,day_of_week,is_weekend,is_holiday,is_peak_period,inbound_volume,outbound_volume,inventory_volume,processed_volume,backlog_volume,available_workers,scheduled_workers,actual_workers,worker_capacity_per_hour,shift_hours,avg_cycle_time_minutes,equipment_availability,downtime_minutes,overtime_hours,absenteeism_rate,operational_cost,weather_impact,special_event,throughput_packages_per_hour,error_misroute_packages,traffic_hour_factor,weekly_pattern_factor,seasonal_pattern_factor
2026-09-01,ATL-HUB,Inbound,Morning,6,Tuesday,0,0,0,1359,1199,426,877,457,24,23,22,43,8,46.6,0.927,8,2.2,0.044,540.19,Clear,0,877,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,7,Tuesday,0,0,0,1714,1512,497,1390,294,30,30,29,50,8,28.4,0.959,8,1.1,0.039,655.79,Heavy Rain,0,1390,3,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,8,Tuesday,0,0,1,2092,1845,659,1743,311,38,37,36,49,8,26.3,0.988,1,1.1,0.029,772.92,Clear,0,1743,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,9,Tuesday,0,0,1,1751,1545,514,1436,288,34,32,31,48,8,30.3,0.965,2,1.0,0.027,669.81,Clear,0,1436,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,10,Tuesday,0,0,0,1477,1304,268,1196,267,26,26,25,51,8,27.2,0.938,7,1.1,0.027,566.78,Clear,0,1196,2,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,11,Tuesday,0,0,0,1465,1293,299,1096,347,29,27,26,45,8,36.7,0.937,9,1.1,0.033,592.47,Clear,0,1096,2,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,12,Tuesday,0,0,0,1310,1156,310,1016,278,25,23,23,46,8,33.9,0.96,3,1.0,0.021,509.23,Clear,0,1016,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,13,Tuesday,0,0,0,1230,1085,310,898,309,23,21,21,45,8,38.3,0.951,8,1.1,0.023,487.61,Clear,0,898,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,14,Tuesday,0,0,0,1209,1067,221,888,297,22,22,21,44,8,36.8,0.962,10,1.4,0.038,506.32,Storm,0,888,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,15,Tuesday,0,0,0,1616,1426,415,1231,349,30,30,29,45,8,32.9,0.944,4,1.3,0.039,644.94,Rain,0,1231,0,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,16,Tuesday,0,0,0,1530,1350,275,1237,246,29,29,27,49,8,29.4,0.935,10,0.7,0.059,605.1,Clear,0,1237,0,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,17,Tuesday,0,0,1,1981,1748,362,1426,524,38,36,35,43,8,41.4,0.948,1,1.3,0.033,757.07,Clear,0,1426,1,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,18,Tuesday,0,0,1,1797,1585,330,1504,266,37,35,34,45,8,27.4,0.983,3,0.7,0.025,723.92,Clear,0,1504,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,19,Tuesday,0,0,1,1745,1539,384,1332,397,32,30,29,48,8,34.8,0.957,1,1.3,0.037,635.9,Clear,0,1332,1,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,20,Tuesday,0,0,0,1402,1237,364,1027,367,25,24,23,47,8,35.7,0.95,5,1.6,0.055,534.05,Clear,0,1027,0,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,21,Tuesday,0,0,0,1324,1169,397,1024,271,24,24,23,49,8,30.4,0.909,3,0.8,0.052,503.88,Clear,0,1024,0,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Night,22,Tuesday,0,0,0,1339,1181,259,1119,197,25,24,23,49,8,26.4,0.993,5,1.0,0.031,516.13,Clear,0,1119,0,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Night,23,Tuesday,0,0,0,1147,1012,246,857,267,22,21,20,45,8,35.7,0.953,4,1.1,0.065,453.85,Clear,0,857,0,0.82,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Morning,6,Tuesday,0,0,0,1374,1262,447,1163,227,29,28,27,45,8,26.1,0.958,5,0.5,0.029,581.75,Clear,0,1163,0,0.96,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Morning,7,Tuesday,0,0,0,2010,1846,388,1714,350,40,40,39,47,8,30.0,0.935,10,0.4,0.031,842.85,Rain,0,1714,1,1.2,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Morning,8,Tuesday,0,0,1,1966,1806,556,1624,388,42,41,39,43,8,29.8,0.969,10,1.1,0.041,859.43,Clear,0,1624,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Morning,9,Tuesday,0,0,1,1983,1821,659,1671,340,44,41,40,43,8,30.9,0.972,5,0.9,0.022,857.63,Clear,0,1671,6,1.2,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Morning,10,Tuesday,0,0,0,1340,1231,405,1038,352,28,28,27,42,8,33.9,0.916,1,1.0,0.037,582.32,Clear,0,1038,0,1.08,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Morning,11,Tuesday,0,0,0,1531,1406,335,1441,144,35,34,33,45,8,24.3,0.971,4,0.3,0.042,692.83,Clear,0,1441,2,1.08,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Morning,12,Tuesday,0,0,0,1447,1329,414,1333,148,30,30,29,47,8,22.0,0.978,5,0.3,0.049,616.49,Clear,0,1333,3,0.96,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Morning,13,Tuesday,0,0,0,1335,1226,265,966,402,29,28,27,37,8,41.6,0.968,10,1.6,0.049,632.74,Storm,0,966,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Evening,14,Tuesday,0,0,0,1415,1299,489,1303,148,33,31,30,45,8,24.7,0.966,1,0.5,0.028,628.19,Clear,0,1303,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Evening,15,Tuesday,0,0,0,1470,1350,301,1119,386,31,31,29,40,8,39.4,0.965,6,2.2,0.053,673.3,Clear,0,1119,2,1.08,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Evening,16,Tuesday,0,0,0,1698,1559,344,1199,522,36,35,34,38,8,40.5,0.929,5,1.8,0.036,760.59,Clear,0,1199,0,1.08,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Evening,17,Tuesday,0,0,1,1695,1557,369,1483,254,39,36,35,44,8,28.4,0.963,6,0.7,0.029,752.44,Clear,0,1483,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Evening,18,Tuesday,0,0,1,1900,1745,603,1638,293,41,41,40,45,8,25.2,0.91,0,0.8,0.032,837.3,Clear,0,1638,1,1.2,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Evening,19,Tuesday,0,0,1,2058,1890,728,1836,261,45,46,44,42,8,24.7,0.994,6,0.7,0.034,934.62,Clear,0,1836,1,1.2,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Evening,20,Tuesday,0,0,0,1442,1324,461,1151,335,31,31,30,42,8,32.9,0.914,6,0.7,0.023,650.3,Clear,0,1151,0,1.08,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Evening,21,Tuesday,0,0,0,1372,1260,365,1085,317,31,29,28,42,8,36.1,0.923,5,1.0,0.039,615.22,Clear,0,1085,0,0.96,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Night,22,Tuesday,0,0,0,1545,1419,293,1239,342,34,33,32,40,8,33.7,0.968,7,0.6,0.037,691.59,Clear,0,1239,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Sortation,Night,23,Tuesday,0,0,0,1166,1071,317,1021,175,27,26,25,43,8,28.5,0.95,6,0.7,0.048,547.72,Clear,0,1021,2,0.82,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Morning,6,Tuesday,0,0,0,1330,1303,284,1059,295,25,24,23,49,8,34.5,0.941,7,1.0,0.042,523.34,Clear,0,1059,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Morning,7,Tuesday,0,0,0,1620,1587,514,1188,463,29,27,26,46,8,36.7,0.994,3,1.7,0.031,593.97,Clear,0,1188,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Morning,8,Tuesday,0,0,1,1673,1639,468,1436,280,32,31,30,50,8,29.9,0.958,1,1.1,0.016,649.74,Clear,0,1436,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Morning,9,Tuesday,0,0,1,1642,1608,314,1434,249,32,31,30,48,8,30.4,0.996,2,0.7,0.033,641.17,Clear,0,1434,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Morning,10,Tuesday,0,0,0,1268,1242,351,910,380,24,23,22,44,8,41.4,0.94,8,1.7,0.029,525.49,Clear,0,910,2,1.08,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Morning,11,Tuesday,0,0,0,1437,1408,492,1317,147,27,26,25,55,8,22.3,0.958,2,0.3,0.042,528.71,Clear,0,1317,0,1.08,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Morning,12,Tuesday,0,0,0,1236,1211,363,971,297,22,22,21,49,8,32.2,0.944,10,1.3,0.046,500.62,Clear,0,971,0,0.96,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Morning,13,Tuesday,0,0,0,1134,1111,317,899,261,22,21,20,50,8,32.0,0.9,4,1.5,0.05,465.64,Clear,0,899,0,0.96,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Evening,14,Tuesday,0,0,0,1249,1224,349,1190,85,25,24,24,54,8,21.0,0.919,10,0.1,0.02,527.13,Rain,0,1190,3,0.96,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Evening,15,Tuesday,0,0,0,1338,1311,445,1051,322,25,25,24,45,8,32.3,0.973,4,1.2,0.044,538.99,Clear,0,1051,4,1.08,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Evening,16,Tuesday,0,0,0,1389,1361,397,1094,318,25,25,24,48,8,29.6,0.95,6,2.0,0.028,568.72,Clear,0,1094,0,1.08,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Evening,17,Tuesday,0,0,1,1697,1662,481,1439,304,30,30,29,51,8,33.3,0.973,4,0.9,0.033,634.68,Clear,0,1439,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Evening,18,Tuesday,0,0,1,1562,1530,546,1323,281,29,28,27,49,8,30.3,1.0,0,1.5,0.03,597.19,Clear,0,1323,1,1.2,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Evening,19,Tuesday,0,0,1,1724,1689,363,1200,559,32,30,29,45,8,39.0,0.92,9,1.3,0.031,662.38,Clear,0,1200,2,1.2,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Evening,20,Tuesday,0,0,0,1568,1536,548,1420,180,31,29,28,52,8,24.2,0.976,10,0.9,0.04,635.48,Heavy Rain,0,1420,0,1.08,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Evening,21,Tuesday,0,0,0,1254,1228,314,928,347,23,22,21,47,8,36.9,0.94,7,1.4,0.046,495.52,Rain,0,928,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Night,22,Tuesday,0,0,0,1304,1277,314,1052,291,23,23,22,49,8,31.4,0.976,1,1.2,0.024,489.76,Clear,0,1052,0,0.96,1.0,1.065
2026-09-01,ATL-HUB,Outbound,Night,23,Tuesday,0,0,0,1092,1070,335,892,218,20,19,19,52,8,34.1,0.903,10,1.0,0.023,452.98,Heavy Rain,0,892,0,0.82,1.0,1.065
2026-09-01,CHI-HUB,Inbound,Morning,6,Tuesday,0,0,0,1234,1089,392,1034,189,24,23,22,48,8,25.1,0.979,5,1.2,0.033,500.38,Clear,0,1034,1,0.96,1.0,1.065
2026-09-01,CHI-HUB,Inbound,Morning,7,Tuesday,0,0,0,1546,1364,478,1189,329,28,29,27,47,8,31.4,0.938,3,0.8,0.057,585.79,Clear,0,1189,2,1.2,1.0,1.065
2026-09-01,CHI-HUB,Inbound,Morning,8,Tuesday,0,0,1,1763,1556,528,1566,150,35,34,33,49,8,23.4,0.969,2,0.2,0.043,686.62,Clear,0,1566,0,1.2,1.0,1.065
2026-09-01,CHI-HUB,Inbound,Morning,9,Tuesday,0,0,1,1851,1633,507,1432,388,33,34,32,48,8,30.6,0.933,0,1.0,0.051,684.67,Clear,0,1432,0,1.2,1.0,1.065
2026-09-01,CHI-HUB,Inbound,Morning,10,Tuesday,0,0,0,1384,1221,248,1032,322,26,25,24,45,8,32.9,0.956,1,1.4,0.036,534.83,Clear,0,1032,0,1.08,1.0,1.065
2026-09-01,CHI-HUB,Inbound,Morning,11,Tuesday,0,0,0,1459,1287,451,1091,348,27,27,26,45,8,37.9,0.933,5,1.3,0.047,588.25,Heavy Rain,0,1091,3,1.08,1.0,1.065
2026-09-01,CHI-HUB,Inbound,Morning,12,Tuesday,0,0,0,1247,1100,372,933,283,23,22,21,46,8,33.8,0.966,5,1.0,0.027,475.51,Clear,0,933,0,0.96,1.0,1.065
2026-09-01,CHI-HUB,Inbound,Morning,13,Tuesday,0,0,0,1232,1087,222,835,393,23,22,21,41,8,41.9,0.97,1,2.3,0.034,498.84,Clear,0,835,3,0.96,1.0,1.065
2026-09-01,CHI-HUB,Inbound,Evening,14,Tuesday,0,0,0,1358,1198,329,1116,229,27,25,24,48,8,28.0,0.969,3,1.2,0.056,535.18,Clear,0,1116,2,0.96,1.0,1.065
