date,facility_id,operation,shift,hour_of_day,day_of_week,is_weekend,is_holiday,is_peak_period,inbound_volume,outbound_volume,inventory_volume,processed_volume,backlog_volume,available_workers,scheduled_workers,actual_workers,worker_capacity_per_hour,shift_hours,avg_cycle_time_minutes,equipment_availability,downtime_minutes,overtime_hours,absenteeism_rate,operational_cost,weather_impact,special_event,throughput_packages_per_hour,error_misroute_packages,traffic_hour_factor,weekly_pattern_factor,seasonal_pattern_factor
2026-09-01,ATL-HUB,Inbound,Morning,6,Tuesday,0,0,0,1499,1323,509,734,727,20,20,19,44,8,73.5,0.879,2,2.8,0.048,481.76,Clear,0,734,0,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,7,Tuesday,0,0,0,1989,1755,413,1258,683,28,28,27,49,8,47.6,0.952,3,2.6,0.051,644.0,Clear,0,1258,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,8,Tuesday,0,0,1,2046,1805,526,1224,785,29,29,28,47,8,55.7,0.93,1,2.0,0.025,641.31,Clear,0,1224,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,9,Tuesday,0,0,1,2247,1982,494,1601,621,32,33,31,52,8,37.7,0.994,3,1.7,0.047,701.35,Clear,0,1601,2,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,10,Tuesday,0,0,0,1609,1420,467,1013,573,23,22,21,50,8,49.1,0.965,7,2.1,0.05,519.1,Clear,0,1013,1,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,11,Tuesday,0,0,0,1589,1402,330,940,620,21,20,19,50,8,54.3,0.99,6,2.8,0.036,496.14,Clear,0,940,2,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,12,Tuesday,0,0,0,1384,1221,343,854,519,21,19,19,48,8,49.2,0.937,4,2.2,0.025,469.33,Clear,0,854,3,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,13,Tuesday,0,0,0,1420,1253,350,877,525,19,19,18,51,8,51.9,0.956,1,3.1,0.053,466.07,Clear,0,877,3,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,14,Tuesday,0,0,0,1394,1230,378,751,629,18,18,17,46,8,66.1,0.961,2,3.1,0.029,449.31,Clear,0,751,2,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,15,Tuesday,0,0,0,1673,1476,527,911,734,22,22,21,46,8,58.0,0.943,1,3.3,0.035,534.64,Clear,0,911,0,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,16,Tuesday,0,0,0,1751,1545,331,1104,619,23,23,22,52,8,49.7,0.966,8,2.4,0.028,552.71,Clear,0,1104,1,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,17,Tuesday,0,0,1,2008,1772,422,1234,743,29,28,27,48,8,51.9,0.953,8,2.4,0.045,654.74,Clear,0,1234,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,18,Tuesday,0,0,1,2235,1972,659,1260,933,31,29,28,46,8,58.9,0.979,6,2.9,0.034,685.86,Clear,0,1260,2,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,19,Tuesday,0,0,1,2083,1838,617,1164,883,28,28,27,47,8,56.9,0.918,5,2.8,0.047,657.67,Clear,0,1164,1,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,20,Tuesday,0,0,0,1678,1481,357,1059,597,23,23,22,50,8,48.1,0.963,0,1.9,0.038,511.83,Clear,0,1059,4,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,21,Tuesday,0,0,0,1293,1141,329,832,451,19,18,18,47,8,50.1,0.984,4,2.4,0.027,453.82,Clear,0,832,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Night,22,Tuesday,0,0,0,1497,1321,350,866,603,20,20,19,46,8,58.4,0.991,4,2.7,0.03,485.32,Clear,0,866,0,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Night,23,Tuesday,0,0,0,1304,1151,369,652,653,17,17,16,43,8,72.3,0.948,9,3.2,0.045,453.42,Clear,0,652,2,0.82,1.0,1.065
