date,facility_id,operation,shift,hour_of_day,day_of_week,is_weekend,is_holiday,is_peak_period,inbound_volume,outbound_volume,inventory_volume,processed_volume,backlog_volume,available_workers,scheduled_workers,actual_workers,worker_capacity_per_hour,shift_hours,avg_cycle_time_minutes,equipment_availability,downtime_minutes,overtime_hours,absenteeism_rate,operational_cost,weather_impact,special_event,throughput_packages_per_hour,error_misroute_packages,traffic_hour_factor,weekly_pattern_factor,seasonal_pattern_factor
2026-09-01,ATL-HUB,Inbound,Morning,6,Tuesday,0,0,0,1490,1314,337,757,747,18,18,17,46,8,72.0,0.969,0,4.2,0.062,475.4,Clear,0,757,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,7,Tuesday,0,0,0,2020,1782,530,934,1054,23,23,21,48,8,79.5,0.927,15,4.7,0.084,624.76,Clear,0,934,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,8,Tuesday,0,0,1,2093,1846,561,1164,909,25,26,24,50,8,61.2,0.971,11,3.3,0.074,632.54,Clear,0,1164,1,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,9,Tuesday,0,0,1,2189,1932,740,1043,1115,24,25,23,47,8,76.7,0.965,15,4.0,0.078,647.15,Clear,0,1043,2,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,10,Tuesday,0,0,0,1692,1493,430,842,819,20,20,19,47,8,70.0,0.943,2,3.7,0.068,510.36,Clear,0,842,1,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,11,Tuesday,0,0,0,1621,1431,422,826,773,20,19,18,49,8,68.8,0.937,14,3.3,0.065,516.82,Clear,0,826,1,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,12,Tuesday,0,0,0,1633,1440,301,714,911,18,17,16,47,8,89.4,0.95,1,4.6,0.055,472.82,Clear,0,714,2,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Morning,13,Tuesday,0,0,0,1542,1360,281,780,741,18,18,17,46,8,69.2,0.998,15,4.0,0.065,524.16,Storm,0,780,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,14,Tuesday,0,0,0,1443,1273,328,668,751,16,17,15,47,8,77.1,0.949,1,3.8,0.094,427.57,Clear,0,668,1,0.96,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,15,Tuesday,0,0,0,1619,1429,298,893,704,20,19,18,53,8,62.9,0.936,8,2.6,0.073,477.98,Clear,0,893,0,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,16,Tuesday,0,0,0,1856,1638,578,913,927,21,22,20,47,8,75.1,0.972,10,4.1,0.075,569.56,Clear,0,913,0,1.08,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,17,Tuesday,0,0,1,2212,1952,654,1116,1094,25,25,23,50,8,74.1,0.971,8,3.8,0.099,619.54,Clear,0,1116,0,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,18,Tuesday,0,0,1,2164,1909,625,1007,1130,24,24,23,46,8,81.0,0.952,2,4.2,0.041,618.34,Storm,0,1007,2,1.2,1.0,1.065
2026-09-01,ATL-HUB,Inbound,Evening,19,Tuesday,0,0,1,2019,1782,529,1019,998,26,25,24,44,8,71.5,0.965,4,4.0,0.059,628.44,Clear,0,1019,0,1.2,1.0,1.065
